Timestamp,CPU%,MemUsage,NetIO,BlockIO,PIDs,VirtuaUsers
8,12.60,303.10,11.8GB / 68MB,0.00,16,8
8,3.85,303.10,11.8GB / 68MB,0.00,16,8
8,1.57,303.10,11.8GB / 68MB,0.00,16,8
8,14.10,304.13,11.8GB / 68MB,0.00,16,8
8,14.48,304.13,11.8GB / 68.1MB,0.00,16,8
8,16.79,305.15,11.8GB / 68.1MB,0.00,16,8
8,10.52,305.15,11.8GB / 68.1MB,0.00,16,8
8,6.65,305.15,11.8GB / 68.2MB,0.00,16,8
8,6.85,305.15,11.8GB / 68.2MB,0.00,16,8
8,15.01,306.17,11.8GB / 68.2MB,0.00,16,8
8,18.75,306.17,11.8GB / 68.3MB,0.00,16,8
8,2.57,305.15,11.8GB / 68.3MB,0.00,16,8
8,20.75,306.17,11.8GB / 68.3MB,0.00,16,8
8,28.42,306.17,11.8GB / 68.3MB,0.00,16,8
8,1.89,306.17,11.8GB / 68.4MB,0.00,16,8
8,20.12,307.20,11.8GB / 68.4MB,0.00,16,8
8,5.64,307.20,11.8GB / 68.4MB,0.00,16,8
8,15.15,308.22,11.8GB / 68.4MB,0.00,16,8
8,1.46,307.20,11.8GB / 68.4MB,0.00,16,8
8,17.66,308.22,11.8GB / 68.5MB,0.00,16,8
9,1.99,308.22,11.8GB / 68.5MB,0.00,16,8
9,14.06,308.22,11.8GB / 68.5MB,0.00,16,8
9,16.44,309.25,11.8GB / 68.5MB,0.00,16,8
9,6.28,309.25,11.8GB / 68.6MB,0.00,16,8
9,8.91,309.25,11.8GB / 68.6MB,0.00,16,8
9,16.81,309.25,11.8GB / 68.6MB,0.00,16,8
9,20.62,310.27,11.8GB / 68.7MB,0.00,16,8
9,0.00,309.25,11.8GB / 68.7MB,0.00,16,8
9,4.45,310.27,11.8GB / 68.7MB,0.00,16,8
9,14.42,310.27,11.8GB / 68.7MB,0.00,16,8
9,19.54,310.27,11.8GB / 68.8MB,0.00,16,8
9,14.62,311.29,11.8GB / 68.8MB,0.00,16,8
9,13.20,311.29,11.8GB / 68.8MB,0.00,16,8
9,18.93,311.29,11.8GB / 68.8MB,0.00,16,8
9,24.16,311.29,11.8GB / 68.9MB,0.00,16,8
9,10.04,312.32,11.8GB / 68.9MB,0.00,16,8
9,20.05,312.32,11.8GB / 68.9MB,0.00,16,8
9,13.60,311.29,11.8GB / 69MB,51.20,16,8
9,2.01,309.25,11.8GB / 69MB,0.00,16,8
9,15.27,309.25,11.8GB / 69MB,0.00,16,8
9,10.29,308.22,11.8GB / 69MB,0.00,16,8
9,3.48,307.20,11.8GB / 69MB,0.00,16,8
9,12.10,306.17,11.8GB / 69.1MB,0.00,16,8
9,12.65,306.17,11.8GB / 69.1MB,0.00,16,8
9,13.03,305.15,11.8GB / 69.1MB,0.00,16,8
9,1.54,305.15,11.8GB / 69.1MB,0.00,16,8
9,8.24,306.17,11.8GB / 69.1MB,0.00,16,8
9,0.94,305.15,11.8GB / 69.1MB,0.00,16,8
9,8.20,306.17,11.8GB / 69.2MB,0.00,16,8
10,13.42,306.17,11.8GB / 69.2MB,0.00,16,8
10,11.83,307.20,11.8GB / 69.2MB,0.00,16,8
10,21.63,307.20,11.8GB / 69.3MB,0.00,16,8
10,3.80,307.20,11.8GB / 69.3MB,0.00,16,8
10,10.20,307.20,11.8GB / 69.3MB,0.00,16,8
10,15.89,308.22,11.8GB / 69.3MB,0.00,16,8
10,18.58,307.20,11.8GB / 69.3MB,0.00,16,8
10,8.67,308.22,11.8GB / 69.4MB,34.13,16,8
10,8.25,308.22,11.8GB / 69.4MB,0.00,16,8
10,13.79,308.22,11.8GB / 69.4MB,0.00,16,8
10,9.94,309.25,11.8GB / 69.5MB,0.00,16,8
10,1.68,308.22,11.8GB / 69.5MB,0.00,16,8
10,14.83,309.25,11.8GB / 69.5MB,0.00,16,8
10,10.45,309.25,11.8GB / 69.5MB,0.00,16,8
