Timestamp,CPU%,MemUsage,NetIO,BlockIO,PIDs
1717890553,155.68%,4.072GiB / 125.8GiB,9.01GB / 33.1MB,377kB / 25.1GB,41
1717890555,176.48%,4.076GiB / 125.8GiB,9.02GB / 33.3MB,377kB / 25.2GB,41
1717890557,131.93%,4.079GiB / 125.8GiB,9.03GB / 33.4MB,377kB / 25.2GB,41
1717890559,157.84%,4.198GiB / 125.8GiB,9.04GB / 33.4MB,377kB / 25.2GB,41
1717890561,244.25%,4.197GiB / 125.8GiB,9.06GB / 33.6MB,377kB / 25.2GB,40
1717890563,289.11%,4.205GiB / 125.8GiB,9.08GB / 33.8MB,377kB / 25.3GB,40
1717890565,158.74%,4.211GiB / 125.8GiB,9.09GB / 33.9MB,377kB / 25.3GB,40
1717890567,115.58%,4.218GiB / 125.8GiB,9.1GB / 34MB,377kB / 25.3GB,40
1717890569,172.19%,4.225GiB / 125.8GiB,9.11GB / 34.1MB,377kB / 25.4GB,40
1717890571,134.81%,4.231GiB / 125.8GiB,9.12GB / 34.2MB,377kB / 25.4GB,40
1717890573,244.35%,4.239GiB / 125.8GiB,9.13GB / 34.3MB,377kB / 25.4GB,40
1717890575,60.71%,4.242GiB / 125.8GiB,9.13GB / 34.4MB,377kB / 25.4GB,40
1717890577,109.17%,4.245GiB / 125.8GiB,9.14GB / 34.5MB,377kB / 25.5GB,40
1717890579,123.07%,4.249GiB / 125.8GiB,9.15GB / 34.5MB,377kB / 25.5GB,40
1717890581,214.88%,4.253GiB / 125.8GiB,9.16GB / 34.7MB,377kB / 25.5GB,40
1717890583,217.71%,4.257GiB / 125.8GiB,9.18GB / 34.9MB,377kB / 25.6GB,40
1717890585,188.91%,4.262GiB / 125.8GiB,9.19GB / 35MB,377kB / 25.7GB,40
1717890587,275.07%,4.265GiB / 125.8GiB,9.2GB / 35.1MB,377kB / 25.7GB,40
1717890589,339.79%,4.27GiB / 125.8GiB,9.22GB / 35.3MB,377kB / 25.8GB,40
1717890591,138.47%,4.273GiB / 125.8GiB,9.23GB / 35.4MB,377kB / 25.9GB,40
1717890593,179.13%,4.277GiB / 125.8GiB,9.24GB / 35.5MB,377kB / 26GB,40
1717890595,14.99%,4.28GiB / 125.8GiB,9.24GB / 35.5MB,377kB / 26.3GB,40
1717890597,11.17%,4.281GiB / 125.8GiB,9.24GB / 35.5MB,377kB / 26.5GB,40
1717890599,172.82%,4.284GiB / 125.8GiB,9.25GB / 35.5MB,377kB / 26.6GB,40
1717890601,192.48%,4.285GiB / 125.8GiB,9.26GB / 35.7MB,377kB / 26.7GB,40
1717890603,84.04%,4.286GiB / 125.8GiB,9.28GB / 35.8MB,377kB / 26.7GB,40
1717890605,115.94%,4.286GiB / 125.8GiB,9.28GB / 35.9MB,377kB / 26.7GB,40
1717890607,154.04%,4.288GiB / 125.8GiB,9.29GB / 36MB,377kB / 26.7GB,40
1717890609,276.27%,4.29GiB / 125.8GiB,9.31GB / 36.1MB,377kB / 26.8GB,40
1717890611,258.71%,4.287GiB / 125.8GiB,9.32GB / 36.3MB,377kB / 26.8GB,40
1717890613,362.67%,4.287GiB / 125.8GiB,9.34GB / 36.5MB,377kB / 26.9GB,40
1717890615,268.45%,4.301GiB / 125.8GiB,9.36GB / 36.7MB,377kB / 26.9GB,41
1717890617,352.21%,4.314GiB / 125.8GiB,9.39GB / 36.9MB,377kB / 27GB,41
1717890619,107.23%,4.35GiB / 125.8GiB,9.4GB / 37.1MB,377kB / 27GB,41
1717890621,266.52%,4.357GiB / 125.8GiB,9.41GB / 37.2MB,377kB / 27GB,41
1717890623,275.68%,4.364GiB / 125.8GiB,9.44GB / 37.4MB,377kB / 27.1GB,41
1717890625,326.72%,4.372GiB / 125.8GiB,9.46GB / 37.6MB,377kB / 27.2GB,41
1717890627,161.21%,4.386GiB / 125.8GiB,9.47GB / 37.8MB,377kB / 27.2GB,41
1717890629,385.94%,4.53GiB / 125.8GiB,9.49GB / 38MB,377kB / 27.2GB,41
1717890631,224.06%,4.511GiB / 125.8GiB,9.51GB / 38.2MB,377kB / 27.3GB,40
1717890633,407.98%,4.514GiB / 125.8GiB,9.54GB / 38.4MB,377kB / 27.4GB,40
1717890635,252.40%,4.513GiB / 125.8GiB,9.56GB / 38.6MB,377kB / 27.4GB,40
1717890637,133.92%,4.514GiB / 125.8GiB,9.57GB / 38.8MB,377kB / 27.4GB,40
1717890639,173.14%,4.515GiB / 125.8GiB,9.58GB / 38.8MB,377kB / 27.5GB,40
1717890641,108.03%,4.515GiB / 125.8GiB,9.59GB / 38.9MB,377kB / 27.5GB,40
1717890643,116.20%,4.515GiB / 125.8GiB,9.59GB / 38.9MB,377kB / 27.5GB,40
1717890645,180.35%,4.577GiB / 125.8GiB,9.6GB / 39.1MB,377kB / 27.5GB,40
1717890647,141.00%,4.638GiB / 125.8GiB,9.61GB / 39.1MB,377kB / 27.5GB,39
1717890649,161.94%,4.639GiB / 125.8GiB,9.62GB / 39.3MB,377kB / 27.6GB,39
1717890651,126.04%,4.639GiB / 125.8GiB,9.63GB / 39.4MB,377kB / 27.6GB,39
1717890653,49.78%,4.64GiB / 125.8GiB,9.64GB / 39.5MB,377kB / 27.6GB,39
1717890655,65.60%,4.639GiB / 125.8GiB,9.64GB / 39.5MB,377kB / 27.6GB,39
